EDA_mean,EDA_std,EDA_sum,EDA_min,EDA_max,EDA_median,EDA_range,EDA_kurtosis,EDA_skewness,EDA_slope,EDA_auc,BVP_mean,BVP_std,BVP_sum,BVP_min,BVP_max,BVP_median,BVP_range,BVP_kurtosis,BVP_skewness,TEMP_mean,TEMP_std,TEMP_sum,TEMP_min,TEMP_max,TEMP_median,TEMP_range,TEMP_kurtosis,TEMP_skewness,TEMP_slope,ACC_X_mean,ACC_X_std,ACC_X_sum,ACC_X_min,ACC_X_max,ACC_X_median,ACC_X_range,ACC_X_kurtosis,ACC_X_skewness,ACC_X_auc,ACC_X_mean_peaks,ACC_Y_mean,ACC_Y_std,ACC_Y_sum,ACC_Y_min,ACC_Y_max,ACC_Y_median,ACC_Y_range,ACC_Y_kurtosis,ACC_Y_skewness,ACC_Y_auc,ACC_Y_mean_peaks,ACC_Z_mean,ACC_Z_std,ACC_Z_sum,ACC_Z_min,ACC_Z_max,ACC_Z_median,ACC_Z_range,ACC_Z_kurtosis,ACC_Z_skewness,ACC_Z_auc,ACC_Z_mean_peaks,label
0.9507815,0.609873655114352,60.850016,0.0,2.109136,1.193533,2.109136,-0.9543384921097311,-0.42889135549615176,0.031072779853479848,59.795448000000015,17.225625,24.435172533584286,1102.44,-0.05,93.78,6.4399999999999995,93.83,1.6827195586550108,1.6445700851190876,376.76828125000003,43.29375,24113.170000000002,35.83,382.18,382.18,346.35,59.015873015873005,-7.81126577552403,-0.4995432692307678,-28.40625,0.49501483062599516,-1818.0,-29.0,-28.0,-28.0,1.0,-1.854251012145749,-0.38177085778546666,-1790.0,29.2,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1514.0,13.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.0,22.0,0.0
0.9837367499999999,0.6146476951999955,62.959151999999996,0.0,2.109136,1.193533,2.109136,-0.833911525033781,-0.41495332054806017,0.031328630036630035,61.904584000000014,18.835625,26.582421323361395,1205.48,-0.05,103.04,6.915,103.09,1.669808982493338,1.6365950529363256,371.3565625,60.73873921941652,23766.82,35.83,382.18,382.18,346.35,27.032258064516107,-5.388159060803244,-0.9832280219780196,-28.40625,0.49501483062599516,-1818.0,-29.0,-28.0,-28.0,1.0,-1.854251012145749,-0.38177085778546666,-1789.5,28.2,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1514.0,12.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.0,21.0,0.0
1.016692,0.6176011079098129,65.068288,0.0,2.109136,1.193533,2.109136,-0.7304206453141999,-0.4090767162000963,0.03148790805860806,64.01372,20.59609375,28.941413158484835,1318.15,-0.05,112.67,7.415,112.72,1.6792629596746345,1.6336492886356957,365.94484375,73.78710563984305,23420.47,35.83,382.18,382.18,346.35,16.38251366120218,-4.287483371536521,-1.451054258241756,-28.40625,0.49501483062599516,-1818.0,-29.0,-28.0,-28.0,1.0,-1.854251012145749,-0.38177085778546666,-1789.0,32.5,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1514.0,11.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.0,20.0,0.0
1.04964725,0.6187599639867024,67.177424,0.0,2.109136,1.193533,2.109136,-0.6377166863737509,-0.4089637638396058,0.03155061391941392,66.12285600000001,22.49859375,31.458571490347328,1439.91,-0.05,121.76,7.995,121.81,1.654812176452448,1.6254741192449853,360.533125,84.50074756643113,23074.12,35.83,382.18,382.18,346.35,11.066666666666654,-3.6147844564602525,-1.9030219780219748,-28.40625,0.49501483062599516,-1818.0,-29.0,-28.0,-28.0,1.0,-1.854251012145749,-0.38177085778546666,-1789.0,31.5,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1514.0,10.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.0,19.0,0.0
1.0826025,0.6181343566239115,69.28656,0.0,2.109136,1.193533,2.109136,-0.5516720298783166,-0.4126725782849254,0.031516747619047616,68.23199200000002,24.52546875,34.05754825919769,1569.63,-0.05,129.72,8.725000000000001,129.77,1.562846296408778,1.6046784516053105,355.12140625,93.68411062557706,22727.77,35.83,382.18,382.18,346.35,7.884745762711857,-3.144001552593741,-2.339131181318679,-28.390625,0.49174737029340243,-1817.0,-29.0,-28.0,-28.0,1.0,-1.798974358974359,-0.448358830654244,-1788.5,30.5,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1514.0,9.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.0,18.0,0.0
1.11555775,0.6157188464790758,71.395696,0.0,2.109136,1.193533,2.109136,-0.4697330903282819,-0.41844082280286443,0.03138630915750916,70.34112800000003,26.6596875,36.67536541702376,1706.22,-0.05,136.59,9.615,136.64000000000001,1.4064757164710446,1.5700463135309857,349.7096875,101.75237437998335,22381.42,35.83,382.18,382.18,346.35,5.770114942528732,-2.7874925905782657,-2.759381868131864,-28.375,0.48795003647426743,-1816.0,-29.0,-28.0,-28.0,1.0,-1.7333333333333334,-0.5163977794943223,-1787.5,29.5,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1514.0,8.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.0,17.0,0.0
1.148513,0.6114922225546497,73.504832,0.0,2.109136,1.193533,2.109136,-0.39073450393489173,-0.42452929134923284,0.031159298534798527,72.45026400000003,28.8940625,39.28831296473646,1849.22,-0.05,143.0,10.565,143.05,1.2130193907688556,1.5254215665475936,344.29796875000005,108.95354819400103,22035.070000000003,35.83,382.18,382.18,346.35,4.265664160401004,-2.503130871608794,-3.1637740384615345,-28.359375,0.48361034754642024,-1815.0,-29.0,-28.0,-28.0,1.0,-1.6564156945917285,-0.5861606481232525,-1786.5,28.5,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1514.0,7.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.0,16.0,0.0
1.18146825,0.6054165539896988,75.613968,0.0,2.109136,1.193533,2.109136,-0.31495057747727095,-0.4290607758583318,0.03083571575091575,74.55940000000004,31.2425,41.93656801060307,1999.52,-0.05,150.3,11.46,150.35000000000002,1.021591203636203,1.4781938889946333,338.88625,115.45000000000003,21688.72,35.83,382.18,382.18,346.35,3.142857142857139,-2.2677868380553616,-3.552307692307688,-28.34375,0.47871355387817055,-1814.0,-29.0,-28.0,-28.0,1.0,-1.567099567099567,-0.657951694959769,-1786.0,32.6,-24.03125,0.30699516567208623,-1538.0,-25.0,-23.0,-24.0,2.0,7.502049861495845,-0.7970231829882565,-1513.5,6.0,49.90625,0.2937848256965009,3194.0,49.0,50.0,50.0,1.0,5.7701149425287355,-2.7874925905782666,3144.5,15.0,0.0
1.2144234999999999,0.5974354314144192,77.72310399999999,0.0,2.109136,1.193533,2.109136,-0.2444202912102793,-0.4298272646570311,0.030415560805860803,76.66853600000005,33.6990625,44.59777689379873,2156.74,-0.05,157.22,12.22,157.27,0.8312869453771117,1.4284213407348871,333.47453125000004,121.3549595186649,21342.370000000003,35.83,382.18,382.18,346.35,2.274747474747471,-2.067546244887274,-3.924982829670327,-28.359375,0.48361034754642024,-1815.0,-29.0,-28.0,-28.0,1.0,-1.6564156945917285,-0.5861606481232525,-1786.5,36.333333333333336,-24.015625,0.2812775559693015,-1537.0,-25.0,-23.0,-24.0,2.0,9.73821011979049,-0.5507657364825927,-1512.5,5.0,49.921875,0.27048970875004175,3195.0,49.0,50.0,50.0,1.0,7.884745762711864,-3.144001552593743,3145.5,14.0,0.0
1.24737875,0.5874712000077447,79.83224,0.0,2.109136,1.193533,2.109136,-0.18366137482738054,-0.42402866137243533,0.029898833699633694,78.77767200000005,36.29328125,47.350385830200466,2322.77,-0.05,166.03,12.850000000000001,166.08,0.6709354344722742,1.3826594054972408,328.0628125,126.75112134964672,20996.02,35.83,382.18,382.18,346.35,1.585185185185182,-1.8934585248125138,-4.281799450549449,-28.375,0.48795003647426743,-1816.0,-29.0,-28.0,-28.0,1.0,-1.7333333333333334,-0.5163977794943223,-1787.5,35.333333333333336,-24.0,0.2519763153394851,-1536.0,-25.0,-23.0,-24.0,2.0,13.0,0.0,-1512.0,4.0,49.9375,0.2439750182371335,3196.0,49.0,50.0,50.0,1.0,11.066666666666666,-3.6147844564602556,3146.0,23.0,0.0
