HR_mean,HR_std,HR_max,HR_min,HR_sum,HR_skew,HR_kurtosis,respr_mean,respr_std,respr_max,respr_min,respr_sum,respr_skew,respr_kurtosis,label
0.7376463268543332,1.12893496993512,2.967591942427493,-0.3625607097386803,7.376463268543332,0.9667215751692178,-0.48566002974968425,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.6932982762073535,0.15836919290528137,-0.4238229519247562,-0.8581565407568056,-6.932982762073535,0.5032498819719052,-1.341027447337189,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.8412701534875671,0.005129296484007002,-0.8322378998319275,-0.8471607536977663,-8.412701534875671,0.5169921381147675,-1.289816371155394,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.8415057774959754,0.006908066596737688,-0.8330233131932878,-0.8573711273954464,-8.415057774959754,-1.009711300993469,0.2305165604558117,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.7542463530488852,0.08377018027834313,-0.631172079323781,-0.8754356347067255,-7.542463530488852,-0.06345851552807119,-1.4009738260576525,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.5648046502888662,0.023776759937392745,-0.5377078893219476,-0.6131075720125031,-5.648046502888661,-0.7177541485676818,-0.627358750079043,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.624181900407678,0.018343900324170527,-0.5966138914239436,-0.6555198935259395,-6.241819004076779,-0.24740768371467753,-1.0888412055595822,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.6125577826595509,0.015282497219074938,-0.5903305845330642,-0.6492365866350601,-6.125577826595508,-1.0060496133115582,0.8823422366018723,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.7398732885359981,0.03713468925221161,-0.6688719206690588,-0.7851130981503311,-7.398732885359981,0.5467270112147514,-0.8649212692118877,-0.16633293616440475,2.7755575615628914e-17,-0.16633293616440473,-0.16633293616440473,-1.6633293616440474,1.0,-2.0,0
-0.7681481695449566,0.015226489413535653,-0.7379882964687349,-0.7827568580662513,-7.681481695449565,0.8009149028623063,-0.8178421757145777,-0.20498352394582353,0.11595176334425635,-0.16633293616440473,-0.5528388139785926,-2.0498352394582353,-2.666666666666666,5.111111111111109,0
-0.8334945612101038,0.08017697174723513,-0.7214946158801754,-0.9437665971450401,-8.334945612101038,0.042536324615659316,-1.4773906994570154,-0.29154935403244214,0.0950549881263873,-0.12848766969174297,-0.4521263316073474,-2.9154935403244213,0.011784051465655403,-0.9150957105269253,0
-0.979188739742374,0.012642227772740346,-0.9531915574813598,-0.9924622255493571,-9.79188739742374,0.8792544246108888,-0.50911673132692,-0.49781837189470063,0.062080557956234524,-0.3857280255628773,-0.6029394786201392,-4.978183718947006,0.06830030816568423,-0.8044003841616427,0
-0.9252308418169456,0.032905351842691964,-0.8825043549589642,-0.9806810251289575,-9.252308418169456,-0.3484220962182848,-1.2720428384325606,-0.7083019665028942,0.06982354082435344,-0.57589274153535,-0.825369036291254,-7.083019665028942,0.2755148754631714,-0.5177270057255585,0
-0.8441761829245988,0.018097941809214882,-0.8102463257138489,-0.877006461429445,-8.441761829245989,0.06810017288567548,-0.4477997716628215,-0.5292806704992408,0.08092221231665223,-0.3960773134061405,-0.6778279239567475,-5.292806704992408,-0.11340721501188229,-0.8067972387323352,0
-0.7404230778889501,0.027805075097920712,-0.7097134154597757,-0.7945380584866509,-7.404230778889501,-0.6332092096821523,-0.7859081302276274,-0.7634483549743994,0.08160373827242728,-0.6404234097659045,-0.8933050511557367,-7.634483549743995,-0.02109861882901813,-1.3270498852333437,0
-0.7379882964687344,0.0211712247185681,-0.7120696555438556,-0.7725464843685723,-7.3798829646873445,-0.2919756471073818,-1.4302611418452136,-0.6210829260530415,0.07397660827250085,-0.5373414431669997,-0.7749382456891487,-6.210829260530415,-0.9150598406156932,-0.4202543335141806,0
